id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1778723153117639132,"#UTS App, a smart way for smart passengers to get unreserved tickets online.

Download

Playstore: https://t.co/tU157vxX46

iOS: https://t.co/ScVyEEwOuk https://t.co/9EhNyqiigr",https://x.com/RailMinIndia/status/1778723153117639132,tweet,Ministry of Railways,@RailMinIndia,34,2,228,299,36638,4,2024-04-12 15:23:41,https://pbs.twimg.com/media/GK9J_8rXQAAi2qF.jpg,
1778678317710770273,"Electrification, transforming the landscape of Indian Railways. ⚡ https://t.co/lHccrlEvVR",https://x.com/RailMinIndia/status/1778678317710770273,tweet,Ministry of Railways,@RailMinIndia,33,3,249,379,41622,6,2024-04-12 12:25:31,https://pbs.twimg.com/media/GK8ibbaWgAASriY.jpg,
1778620455055733154,"Basking in the golden glow of a sunny day, a Rail bridge gracefully spans over River Shivnath on the Kharsia-Dharamjaigarh Rail section. ☀️
📍Chhattisgarh https://t.co/wJiSY3RXZn",https://x.com/RailMinIndia/status/1778620455055733154,tweet,Ministry of Railways,@RailMinIndia,27,7,296,677,55893,4,2024-04-12 08:35:36,https://pbs.twimg.com/media/GK7t30waYAA9bPD.jpg,
1778377751453478957,Entry on platforms is allowed only to bonafide passengers. Persons without a ticket can purchase a platform ticket from the ticket counter or online on UTS Mobile. https://t.co/WlIKUHmW7U,https://x.com/RailMinIndia/status/1778377751453478957,tweet,Ministry of Railways,@RailMinIndia,45,4,278,574,54280,5,2024-04-11 16:31:11,https://pbs.twimg.com/media/GK4RD_rW4AAHz3Z.jpg,
1778316470184771644,Take a quick weekend getaway in the heritage of Western Ghats with the Neral-Matheran Toy Train. https://t.co/wYBE2HESye,https://x.com/RailMinIndia/status/1778316470184771644,tweet,Ministry of Railways,@RailMinIndia,17,2,282,478,42668,9,2024-04-11 12:27:40,https://pbs.twimg.com/media/GK3actOXsAATdoF.jpg,https://video.twimg.com/ext_tw_video/1778315623518306304/pu/vid/avc1/720x720/BnF6q2lNMtjjiDNd.mp4?tag=12
1778276705536450915,भारतीय रेल की ओर से आपसी भाईचारे के प्रतीक पर्व ईद-उल-फितर की हार्दिक बधाई। https://t.co/nso1Y40Iyl,https://x.com/RailMinIndia/status/1778276705536450915,tweet,Ministry of Railways,@RailMinIndia,44,6,285,718,46921,2,2024-04-11 09:49:40,https://pbs.twimg.com/media/GK21PCFWkAAxk6t.jpg,
1778255224148476003,समाजिक कुरीतियों के विरुद्ध आवाज उठाने वाले महान समाजसेवी महात्मा ज्योतिबा फुले जी की जयंती पर भारतीय रेल उन्हें कोटिश: नमन करती है। https://t.co/LOKFMrb92M,https://x.com/RailMinIndia/status/1778255224148476003,tweet,Ministry of Railways,@RailMinIndia,28,5,321,764,47890,3,2024-04-11 08:24:18,https://pbs.twimg.com/media/GK2hssibAAA6iZd.jpg,
1778051414092083280,"Skip the line, book your tickets online.
Simplify the process of ticketing, purchase unreserved tickets on the UTS app.

Download:
Playstore: https://t.co/tU157vxX46

iOS: https://t.co/ScVyEEwOuk https://t.co/qn7CdlukHv",https://x.com/RailMinIndia/status/1778051414092083280,tweet,Ministry of Railways,@RailMinIndia,46,3,252,378,39809,2,2024-04-10 18:54:26,https://pbs.twimg.com/media/GKzn7k1WEAEsOai.jpg,
1778014108505210980,"Take a look at the Ranchi-Varanasi #VandeBharatExpress traversing along the luscious field of golden hues, creating a striking accord with its orange streak.

Credit: Saurabh https://t.co/eIAymHC3xS",https://x.com/RailMinIndia/status/1778014108505210980,tweet,Ministry of Railways,@RailMinIndia,87,18,545,3162,153597,43,2024-04-10 16:26:12,https://pbs.twimg.com/ext_tw_video_thumb/1778013985159172096/pu/img/I2YJE93J_bH5IhWZ.jpg,https://video.twimg.com/ext_tw_video/1778013985159172096/pu/vid/avc1/720x1280/Mbb4sMgq-ZNQHqJx.mp4?tag=12
1777998155369333181,"Spanning River Luna, a river bridge stitches two vibrant worlds in Odisha. https://t.co/rSc60BdAWF",https://x.com/RailMinIndia/status/1777998155369333181,tweet,Ministry of Railways,@RailMinIndia,9,1,268,702,51506,8,2024-04-10 15:22:48,https://pbs.twimg.com/media/GKy33xSXcAAG6iJ.jpg,
1777942472884171069,Dispose of your waste responsibly and do your part as a #ResponsibleRailYatri.🗑️✅ https://t.co/lk49cQBzWU,https://x.com/RailMinIndia/status/1777942472884171069,tweet,Ministry of Railways,@RailMinIndia,24,2,278,487,39846,4,2024-04-10 11:41:32,https://pbs.twimg.com/media/GKyFGesXkAAojOq.jpg,
1777889176228388958,"होम्योपैथी सुरक्षित, सस्ती और सरल प्राकृतिक चिकित्सा पद्धति है। विश्व होम्योपैथी दिवस के अवसर पर आइए उपचार के इस तरीक़े के प्रति जागरूकता फैलाएं। https://t.co/4WHlO4K57H",https://x.com/RailMinIndia/status/1777889176228388958,tweet,Ministry of Railways,@RailMinIndia,16,2,329,823,50751,2,2024-04-10 08:09:45,https://pbs.twimg.com/media/GKxUx2ZaAAAeAc2.jpg,
1777651969395429648,"Indian Railways wishes a Happy Gudi Padwa! ✨
May the new year bring prosperous beginnings, hopes and happiness to everyone’s life. https://t.co/l56CTHzbuM",https://x.com/RailMinIndia/status/1777651969395429648,tweet,Ministry of Railways,@RailMinIndia,20,1,243,510,36628,1,2024-04-09 16:27:11,https://pbs.twimg.com/media/GKt9CjzWQAIkWHC.jpg,
